Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC001,1.0,(2 Decimal point) To test Dynamic-Mailing List price with all available parameters , , , , , PASS,7326
TC001,2.0,3 Decimal point, , , , , PASS,7327
TC001,3.0,4 Decimal point, , , , , PASS,7328
TC002,4.0,(2 Decimal point) To test Dynamic-print with list When Enable calculate tax is unchecked., , , , , PASS,7329
TC002,5.0,3 Decimal point, , , , , PASS,7330
TC002,6.0,4 Decimal point, , , , , PASS,7331
TC003,7.0,(2 Decimal point) To test Dynamic-print when Discount and promotion coupon Percentage where item price is flat rate, , , , , PASS,7332
TC003,8.0,3 Decimal point, , , , , PASS,7333
TC003,9.0,4 Decimal point, , , , , PASS,7334
TC004,10.0,(2 Decimal point) To test Dynamic-print with list WhenDiscount percentage and coupon value., , , , , PASS,7335
