Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC014,273.0,4 Decimal point,OrderCheckOut,Discount,'5.0000%,'$0.0000,FAIL,null
TC014,273.0,4 Decimal point,OrderCheckOut,Amount,'$20.9000,'$0.0000,FAIL,null
TC014,273.0,4 Decimal point, , , , , Fail,6223
