Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC007,21.0,4 Decimal point, , , , , PASS,7257
TC008,22.0,(2 Decimal point) To test Dynamic-print with list Without Postage price, , , , , PASS,7258
TC008,23.0,3 Decimal point, , , , , PASS,7259
TC008,24.0,4 Decimal point, , , , , PASS,7260
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax, , , , , PASS,7261
TC009,26.0,3 Decimal point, , , , , PASS,7262
TC009,27.0,4 Decimal point, , , , , PASS,7263
TC010,28.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is Taxable and shipping price is Flatrate., , , , , PASS,7264
TC010,30.0,4 Decimal point, , , , , PASS,7265
