Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC012,34.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is Taxable and shipping price and Item price are Perpiece.(Applying Discount(%)  Coupon(Amount)  Add-On(Flat rate) and Tax),User Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7112
TC012,34.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is Taxable and shipping price and Item price are Perpiece.(Applying Discount(%)  Coupon(Amount)  Add-On(Flat rate) and Tax),Approver Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7112
TC012,34.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is Taxable and shipping price and Item price are Perpiece.(Applying Discount(%)  Coupon(Amount)  Add-On(Flat rate) and Tax),PS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7112
TC012,34.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is Taxable and shipping price and Item price are Perpiece.(Applying Discount(%)  Coupon(Amount)  Add-On(Flat rate) and Tax), , , , , Fail,7112
TC012,35.0,3 Decimal point,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC012,35.0,3 Decimal point,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC012,35.0,3 Decimal point,OS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,null
TC012,35.0,3 Decimal point,User Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7113
TC012,35.0,3 Decimal point,Approver Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7113
TC012,35.0,3 Decimal point,PS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7113
TC012,35.0,3 Decimal point, , , , , Fail,7113
TC012,36.0,4 Decimal point,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC012,36.0,4 Decimal point,OS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,null
TC012,36.0,4 Decimal point,User Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7114
TC012,36.0,4 Decimal point,Approver Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7114
TC012,36.0,4 Decimal point,PS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7114
TC012,36.0,4 Decimal point, , , , , Fail,7114
TC013,37.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is   NOt Taxable and shipping price is Flatrate.,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC013,37.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is   NOt Taxable and shipping price is Flatrate.,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC013,37.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is   NOt Taxable and shipping price is Flatrate.,OS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,null
TC013,37.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is   NOt Taxable and shipping price is Flatrate.,User Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7115
TC013,37.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is   NOt Taxable and shipping price is Flatrate.,Approver Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7115
TC013,37.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is   NOt Taxable and shipping price is Flatrate.,PS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7115
TC013,37.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is   NOt Taxable and shipping price is Flatrate., , , , , Fail,7115
TC013,38.0,3 Decimal point,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC013,38.0,3 Decimal point,OS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,null
TC013,38.0,3 Decimal point,User Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7116
TC013,38.0,3 Decimal point,Approver Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7116
TC013,38.0,3 Decimal point,PS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7116
TC013,38.0,3 Decimal point, , , , , Fail,7116
TC013,39.0,4 Decimal point,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC013,39.0,4 Decimal point,OS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,null
TC013,39.0,4 Decimal point,User Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7117
TC013,39.0,4 Decimal point,Approver Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7117
TC013,39.0,4 Decimal point,PS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7117
TC013,39.0,4 Decimal point, , , , , Fail,7117
