Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,Approver View Orders,Total,'$65.7136,'$42.4841,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,Approver Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,Approver Print Popup,PrintTotal,'$65.7136,'$42.4841,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,Approver Print Popup,PrintTaxValue,'$2.7213,'$1.7593,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,PS View Orders,Shipping,'$24.9429,'$2.6754,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,PS View Orders,Tax,'$2.7213,'$1.7593,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,PS View Orders,Total,'$65.7136,'$42.4841,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,PS View Orders,Shipping,'$24.9429,'$2.6754,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,PS View Orders,Tax,'$2.7213,'$1.7593,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,PS View Orders,Total,'$65.7136,'$42.4841,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,PS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,PS Print Popup,PrintTotal,'$65.7136,'$42.4841,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,PS Print Popup,PrintTaxValue,'$2.7213,'$1.7593,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,Admin Coop Fund,TaxAmount,'22,502.6784,'22,479.4489,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece,Admin Coop Fund,TaxAmount,'9,977,496.3216,'9,977,519.5511,FAIL,7200
TC057,184.0,4 Decimal point To test DynamicPrint Shpping: Print when shipping is Taxable and shipping and addon's price are Flat rate and Item Price is Perpiece, , , , , Fail,7200
TC004,185.0,(2 Decimal point) To test Dynamic-print with list WhenDiscount percentage and coupon value., , , , , PASS,7201
TC028,186.0,(2 Decimal point) To test Static print with Shipping-print with available parameters (2 -Decimal point), , , , , PASS,null
TC049,187.0,(2 Decimal point) Static Inventory-Ship to Multiple Locations, , , , , PASS,null
TC010,188.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is Taxable and shipping price is Flatrate.,Order checkout,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,null
TC010,188.0,(2 Decimal point) To test Dynamic-print Drop shipment with list when shipping is Taxable and shipping price is Flatrate., , , , , PASS,7202
TC019,189.0,4 Decimal point,Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC019,189.0,4 Decimal point,OS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,null
TC019,189.0,4 Decimal point,User Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7203
TC019,189.0,4 Decimal point,Approver Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7203
TC019,189.0,4 Decimal point,PS Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7203
TC019,189.0,4 Decimal point, , , , , Fail,7203
TC038,190.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),ViewSummary,subtotal,'$9.81,'$15.28,FAIL,null
TC038,190.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),ViewSummary,Discount,'-$9.81,'-$15.28,FAIL,null
TC038,190.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),ViewSummary,DownloadPrice,'$4.12,'$9.59,FAIL,null
TC038,190.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC038,190.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),Order checkout,ShipAddSameAsBillAdd,'Both BIlling, Shipping address are same and shipping address do not have Edit | Select LInks,'Both BIlling, Shipping address are Different and/or shipping address have Edit | Select LInks,FAIL,null
TC038,190.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),Order check out,Shipping Price,'$5.36,'$278.48,FAIL,null
TC038,190.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),OrderCheckOut,PromotionDiscount,'-$182.65,'-$500.00,FAIL,null
TC038,190.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),OrderCheckOut,Shipping,'$5.36,'$278.48,FAIL,null
TC038,190.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax),OrderCheckOut,TaxPercentage,'(5.87%),'(5.69%),FAIL,null
TC038,190.0,(2 Decimal point) To test Static-print Ship to My Address: Download/Print when shipping is Taxable and shipping price and Item price are flat rate.(Applying Discount(%) Coupon(%) Add-On(Perpiece) and Tax), , , , , Fail,null
