Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC007,21.0,4 Decimal point, , , , , PASS,7102
TC008,22.0,(2 Decimal point) To test Dynamic-print with list Without Postage price, , , , , PASS,7103
TC008,23.0,3 Decimal point, , , , , PASS,7104
TC008,24.0,4 Decimal point, , , , , PASS,7105
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ProductDetailsPopUp,Item price,'$0.65,'$0.70,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ProductDetailsPopUp,Discount,'$0.00,'$4.12,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ProductDetailsPopUp,Item price,'$0.65,'$0.70,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ProductDetailsPopUp,Discount,'$0.00,'$4.12,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,VeiwPricingPopUp,Item price,'$0.65,'$0.70,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ProductDetailsPopUp,Item price,'$0.65,'$0.70,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ProductDetailsPopUp,Discount,'$0.00,'$4.12,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ViewSummary,Item price,'$0.65,'$0.70,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ViewSummary,subtotal,'$6.50,'$7.00,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ViewSummary,Discount,'-$0.00,'-( $4.12 ),FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ViewSummary,Addon price,'$0.00,'$0.68,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ViewSummary,total,'$6.50,'$3.56,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ShoppingCart,Item price,'$0.65,'$0.70,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ShoppingCart,Discount price,'$0.00,'$4.12,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ShoppingCart,Addon price,'$0.00,'$0.68,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ShoppingCart,GridTotal,'$6.50,'$3.56,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,ShoppingCart,total,'$6.50,'$3.56,FAIL,null
TC009,25.0,(2 Decimal point) To test Dynamic-print with list without Addons  Postage  Coupon  Discount  Tax,OrderCheckOut,ItemPrice,'$0.65,'$0.70,FAIL,null
