Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC014,41.0,3 Decimal point, , , , , PASS,7064
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OS Print Popup,PrintTotal,'$140.32,'$147.93,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OS Print Popup,Amount,'$135.49,'$145.80,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OS Print Popup,SubTotal,'$135.49,'$145.80,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OS Print Popup,PromotionDiscount,'-$2.12,'-$2.35,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),OS Print Popup,PrintTaxValue,'$6.95,'$4.48,FAIL,7065
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),User View Orders,Shipping price,'$22.25,'$32.56,FAIL,7066
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),User View Orders,Promotion Disocunt,'-$2.12,'-$2.35,FAIL,7066
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),User View Orders,Shipping price,'$22.25,'$32.56,FAIL,7066
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),User View Orders,Tax,'$6.95,'$4.48,FAIL,7066
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),User View Orders,Total,'$140.32,'$147.93,FAIL,7066
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),User View Orders,Promotion Disocunt,'-$2.12,'-$2.35,FAIL,7066
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),User View Orders,Shipping price,'$22.25,'$32.56,FAIL,7066
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),User View Orders,Tax,'$6.95,'$4.48,FAIL,7066
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),User View Orders,Total,'$140.32,'$147.93,FAIL,7066
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),User Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7066
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),User Print Popup,Billing Address,'Billing address displays to user,'Billing address not displayed,FAIL,7066
TC016,46.0,(2 Decimal point)  Dynamic print product:Download+Shipping (-Download/Print Item process type),User Print Popup,PrintTotal,'$140.32,',FAIL,7066
TC016,48.0,4 Decimal point,Select List,Shipping Price,'$41.2564,'$32.5640,FAIL,7066
TC016,48.0,4 Decimal point,ViewSummary,subtotal,'$146.8005,'$144.6840,FAIL,7066
TC016,48.0,4 Decimal point,ViewSummary,Discount,'-$6.6941,'-$6.5976,FAIL,7066
TC016,48.0,4 Decimal point,ViewSummary,Shipping price,'$41.2564,'$32.5640,FAIL,7066
TC016,48.0,4 Decimal point,ViewSummary,DownloadPrice,'$14.2365,'$12.1200,FAIL,7066
TC016,48.0,4 Decimal point,ViewSummary,total,'$186.5944,'$175.8820,FAIL,7066
TC016,48.0,4 Decimal point,ShoppingCart,Shipping price,'$41.2564,'$32.5640,FAIL,7066
TC016,48.0,4 Decimal point,ShoppingCart,GridTotal,'$186.5944,'$175.8820,FAIL,7066
